@relation std_tobi_adv_them_n-weka.filters.unsupervised.attribute.TimeSeriesTranslate-R26-I-1

@attribute W numeric
@attribute TotLines numeric
@attribute PoS {NNP,VBZ,0.0,NNS,HYPH,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,c,CC,RBR,cc,VBG,VBP,PDT,WP,POS,JJR,RP,:,WRB,(,),WDT,RBS,EX,JJS,NNPS,$}
@attribute Id numeric
@attribute DepRel {TITLE,SBJ,ROOT,OBJ,P,NMOD,HYPH,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,SUFFIX,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute Prop {P2,Foc,P3,P4,BACK,A1,A2}
@attribute Emb {yes,no}
@attribute Them {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute TH2 {T1,R1,SP1}
@attribute TH3 {T1,R1}
@attribute TotSpans numeric
@attribute LocSpan {A,Z,B,C,U,D,E,F,G,H}
@attribute nWSpan numeric
@attribute 'Copy of W-1' numeric
@attribute 'Copy of TotLines-1' numeric
@attribute 'Copy of PoS-1' {NNP,VBZ,0.0,NNS,HYPH,VBD,PRP,PRP$,TO,VB,JJ,IN,RB,CD,DT,NN,MD,VBN,c,CC,RBR,cc,VBG,VBP,PDT,WP,POS,JJR,RP,:,WRB,(,),WDT,RBS,EX,JJS,NNPS,$}
@attribute 'Copy of Id-1' numeric
@attribute 'Copy of DepRel-1' {TITLE,SBJ,ROOT,OBJ,P,NMOD,HYPH,NAME,POSTHON,OPRD,IM,PRD,TMP,DEP,PMOD,LOC,DIR,ADV,VC,APPO,COORD,CONJ,AMOD,EXT,SUFFIX,MNR,PRP,PRT,HMOD,LGS,SUB,LOCbPRD}
@attribute 'Copy of Prop-1' {P2,Foc,P3,P4,BACK,A1,A2}
@attribute 'Copy of Emb-1' {yes,no}
@attribute 'Copy of Them-1' {T1,R1,SP1,SP2,R1-1,R1-2}
@attribute 'Copy of TH2-1' {T1,R1,SP1}
@attribute 'Copy of TH3-1' {T1,R1}
@attribute 'Copy of TotSpans-1' numeric
@attribute 'Copy of LocSpan-1' {A,Z,B,C,U,D,E,F,G,H}
@attribute 'Copy of nWSpan-1' numeric
@attribute TOBI-1 {L+H*,LH-,LL-,L*L-,H*,L*+H,L*H-,L*,H*LH-,H+L*,HL-,H+,H*L-,HH-,L*+HL-,H*+L,'L*+H LH-',Hl-,+H,L-,H*+LH-,!H*,H+L*L-,L*+HLH-,H*H-,H+L*LH-,+L,H++,Lh-,H+L*H-,1.0,L*LH-}
@attribute tobi {L+H*,LH-,LL-,L*L-,H*,L*+H,L*H-,L*,H*LH-,H+L*,HL-,H+,H*L-,HH-,L*+HL-,H*+L,'L*+H LH-',Hl-,+H,L-,H*+LH-,!H*,H+L*L-,L*+HLH-,H*H-,H+L*LH-,+L,H++,Lh-,H+L*H-,1.0,L*LH-}

@data
11,12,DT,12,NMOD,?,?,R1,?,?,2,Z,8,10,12,IN,7,LOC,?,?,R1,?,?,2,Z,8,?,?
12,12,NNP,10,PMOD,?,?,R1,?,?,2,Z,8,11,12,DT,12,NMOD,?,?,R1,?,?,2,Z,8,?,L*L-
1,15,NNP,2,NAME,?,?,T1,?,?,2,A,3,12,12,NNP,10,PMOD,?,?,R1,?,?,2,Z,8,?,L+H*
2,15,NNS,4,SBJ,?,?,T1,?,?,2,A,3,1,15,NNP,2,NAME,?,?,T1,?,?,2,A,3,L+H*,?
3,15,NNP,2,POSTHON,?,?,T1,?,?,2,A,3,2,15,NNS,4,SBJ,?,?,T1,?,?,2,A,3,?,LL-
4,15,VBD,0,ROOT,?,?,R1,?,?,2,Z,12,3,15,NNP,2,POSTHON,?,?,T1,?,?,2,A,3,LL-,L+H*
5,15,PRP$,6,NMOD,?,?,R1,?,?,2,Z,12,4,15,VBD,0,ROOT,?,?,R1,?,?,2,Z,12,L+H*,?
6,15,NN,4,OBJ,?,?,R1,?,?,2,Z,12,5,15,PRP$,6,NMOD,?,?,R1,?,?,2,Z,12,?,LH-
7,15,TO,4,DIR,?,?,R1,?,?,2,Z,12,6,15,NN,4,OBJ,?,?,R1,?,?,2,Z,12,LH-,?
8,15,CD,9,NMOD,?,?,R1,?,?,2,Z,12,7,15,TO,4,DIR,?,?,R1,?,?,2,Z,12,?,H*
9,15,NNS,7,PMOD,?,?,R1,?,?,2,Z,12,8,15,CD,9,NMOD,?,?,R1,?,?,2,Z,12,H*,?
10,15,IN,4,DIR,?,?,R1,?,?,2,Z,12,9,15,NNS,7,PMOD,?,?,R1,?,?,2,Z,12,?,?
11,15,CD,12,NMOD,?,?,R1,?,?,2,Z,12,10,15,IN,4,DIR,?,?,R1,?,?,2,Z,12,?,?
12,15,NNS,10,PMOD,?,?,R1,?,?,2,Z,12,11,15,CD,12,NMOD,?,?,R1,?,?,2,Z,12,?,?
13,15,DT,14,NMOD,?,?,R1,?,?,2,Z,12,12,15,NNS,10,PMOD,?,?,R1,?,?,2,Z,12,?,?
14,15,NN,12,ADV,?,?,R1,?,?,2,Z,12,13,15,DT,14,NMOD,?,?,R1,?,?,2,Z,12,?,LL-
15,15,0.0,4,P,?,?,R1,?,?,2,Z,12,14,15,NN,12,ADV,?,?,R1,?,?,2,Z,12,LL-,?
1,9,DT,3,NMOD,?,?,T1,?,?,2,A,3,15,15,0.0,4,P,?,?,R1,?,?,2,Z,12,?,?
2,9,JJ,3,NMOD,?,?,T1,?,?,2,A,3,1,9,DT,3,NMOD,?,?,T1,?,?,2,A,3,?,L*+H
3,9,NN,4,SBJ,?,?,T1,?,?,2,A,3,2,9,JJ,3,NMOD,?,?,T1,?,?,2,A,3,L*+H,LH-
4,9,MD,0,ROOT,?,?,R1,?,?,2,Z,6,3,9,NN,4,SBJ,?,?,T1,?,?,2,A,3,LH-,?
5,9,VB,4,VC,?,?,R1,?,?,2,Z,6,4,9,MD,0,ROOT,?,?,R1,?,?,2,Z,6,?,?
6,9,JJ,5,PRD,?,?,R1,?,?,2,Z,6,5,9,VB,4,VC,?,?,R1,?,?,2,Z,6,?,L*H-
7,9,NNP,8,NMOD,?,?,R1,?,?,2,Z,6,6,9,JJ,5,PRD,?,?,R1,?,?,2,Z,6,L*H-,L*
8,9,CD,6,TMP,?,?,R1,?,?,2,Z,6,7,9,NNP,8,NMOD,?,?,R1,?,?,2,Z,6,L*,LL-
9,9,0.0,4,P,?,?,R1,?,?,2,Z,6,8,9,CD,6,TMP,?,?,R1,?,?,2,Z,6,LL-,?
1,8,DT,3,NMOD,?,?,T1,?,?,2,A,3,9,9,0.0,4,P,?,?,R1,?,?,2,Z,6,?,?
2,8,NN,3,NMOD,?,?,T1,?,?,2,A,3,1,8,DT,3,NMOD,?,?,T1,?,?,2,A,3,?,L*+H
3,8,NN,4,SBJ,?,?,T1,?,?,2,A,3,2,8,NN,3,NMOD,?,?,T1,?,?,2,A,3,L*+H,LH-
4,8,VBZ,0,ROOT,?,?,R1,?,?,2,Z,5,3,8,NN,4,SBJ,?,?,T1,?,?,2,A,3,LH-,L*
5,8,RB,4,ADV,?,?,R1,?,?,2,Z,5,4,8,VBZ,0,ROOT,?,?,R1,?,?,2,Z,5,L*,?
6,8,VBN,4,VC,?,?,R1,?,?,2,Z,5,5,8,RB,4,ADV,?,?,R1,?,?,2,Z,5,?,?
7,8,VBN,6,VC,?,?,R1,?,?,2,Z,5,6,8,VBN,4,VC,?,?,R1,?,?,2,Z,5,?,LL-
8,8,0.0,4,P,?,?,R1,?,?,2,Z,5,7,8,VBN,6,VC,?,?,R1,?,?,2,Z,5,LL-,?
1,17,NNP,8,SBJ,?,?,T1,?,?,2,A,7,8,8,0.0,4,P,?,?,R1,?,?,2,Z,5,?,L*H-
2,17,c,1,P,?,?,T1,?,?,2,A,7,1,17,NNP,8,SBJ,?,?,T1,?,?,2,A,7,L*H-,?
3,17,VBN,1,APPO,?,?,T1,?,?,2,A,7,2,17,c,1,P,?,?,T1,?,?,2,A,7,?,L*
4,17,IN,3,LOC,?,?,T1,?,?,2,A,7,3,17,VBN,1,APPO,?,?,T1,?,?,2,A,7,L*,?
5,17,NNP,6,NAME,?,?,T1,?,?,2,A,7,4,17,IN,3,LOC,?,?,T1,?,?,2,A,7,?,?
6,17,NNP,4,PMOD,?,?,T1,?,?,2,A,7,5,17,NNP,6,NAME,?,?,T1,?,?,2,A,7,?,LH-
7,17,c,1,P,?,?,T1,?,?,2,A,7,6,17,NNP,4,PMOD,?,?,T1,?,?,2,A,7,LH-,?
8,17,VBZ,0,ROOT,?,?,R1,?,?,2,Z,10,7,17,c,1,P,?,?,T1,?,?,2,A,7,?,H*
9,17,CC,8,COORD,?,?,R1,?,?,2,Z,10,8,17,VBZ,0,ROOT,?,?,R1,?,?,2,Z,10,H*,?
10,17,VBZ,9,CONJ,?,?,R1,?,?,2,Z,10,9,17,CC,8,COORD,?,?,R1,?,?,2,Z,10,?,?
11,17,JJ,10,PRD,?,?,R1,?,?,2,Z,10,10,17,VBZ,9,CONJ,?,?,R1,?,?,2,Z,10,?,LH-
12,17,c,11,P,?,?,R1,?,?,2,Z,10,11,17,JJ,10,PRD,?,?,R1,?,?,2,Z,10,LH-,?
13,17,NN,11,COORD,?,?,R1,?,?,2,Z,10,12,17,c,11,P,?,?,R1,?,?,2,Z,10,?,L*
14,17,CC,13,COORD,?,?,R1,?,?,2,Z,10,13,17,NN,11,COORD,?,?,R1,?,?,2,Z,10,L*,?
15,17,NN,14,CONJ,?,?,R1,?,?,2,Z,10,14,17,CC,13,COORD,?,?,R1,?,?,2,Z,10,?,?
16,17,NNS,8,OBJ,?,?,R1,?,?,2,Z,10,15,17,NN,14,CONJ,?,?,R1,?,?,2,Z,10,?,LL-
17,17,0.0,8,P,?,?,R1,?,?,2,Z,10,16,17,NNS,8,OBJ,?,?,R1,?,?,2,Z,10,LL-,?
1,17,DT,3,NMOD,?,?,T1,?,?,2,A,3,17,17,0.0,8,P,?,?,R1,?,?,2,Z,10,?,?
2,17,VBN,3,NMOD,?,?,T1,?,?,2,A,3,1,17,DT,3,NMOD,?,?,T1,?,?,2,A,3,?,L*+H
3,17,NNS,5,SBJ,?,?,T1,?,?,2,A,3,2,17,VBN,3,NMOD,?,?,T1,?,?,2,A,3,L*+H,LL-
4,17,RB,5,ADV,?,?,R1,?,?,2,Z,14,3,17,NNS,5,SBJ,?,?,T1,?,?,2,A,3,LL-,H*
5,17,MD,0,ROOT,?,?,R1,?,?,2,Z,14,4,17,RB,5,ADV,?,?,R1,?,?,2,Z,14,H*,?
6,17,VB,5,VC,?,?,R1,?,?,2,Z,14,5,17,MD,0,ROOT,?,?,R1,?,?,2,Z,14,?,?
7,17,NNS,6,OBJ,?,?,R1,?,?,2,Z,14,6,17,VB,5,VC,?,?,R1,?,?,2,Z,14,?,LL-
8,17,TO,6,OPRD,?,?,R1,?,?,2,Z,14,7,17,NNS,6,OBJ,?,?,R1,?,?,2,Z,14,LL-,?
9,17,VB,8,IM,?,?,R1,?,?,2,Z,14,8,17,TO,6,OPRD,?,?,R1,?,?,2,Z,14,?,H*
10,17,NNS,9,OBJ,?,?,R1,?,?,2,Z,14,9,17,VB,8,IM,?,?,R1,?,?,2,Z,14,H*,?
11,17,IN,10,NMOD,?,?,R1,?,?,2,Z,14,10,17,NNS,9,OBJ,?,?,R1,?,?,2,Z,14,?,?
12,17,NNS,11,PMOD,?,?,R1,?,?,2,Z,14,11,17,IN,10,NMOD,?,?,R1,?,?,2,Z,14,?,?
13,17,RB,9,TMP,?,?,R1,?,?,2,Z,14,12,17,NNS,11,PMOD,?,?,R1,?,?,2,Z,14,?,?
14,17,CC,13,COORD,?,?,R1,?,?,2,Z,14,13,17,RB,9,TMP,?,?,R1,?,?,2,Z,14,?,?
15,17,RBR,16,AMOD,?,?,R1,?,?,2,Z,14,14,17,CC,13,COORD,?,?,R1,?,?,2,Z,14,?,?
16,17,RB,14,CONJ,?,?,R1,?,?,2,Z,14,15,17,RBR,16,AMOD,?,?,R1,?,?,2,Z,14,?,LL-
17,17,0.0,5,P,?,?,R1,?,?,2,Z,14,16,17,RB,14,CONJ,?,?,R1,?,?,2,Z,14,LL-,?
1,13,cc,0,ROOT,?,?,SP1,?,?,3,A,2,17,17,0.0,5,P,?,?,R1,?,?,2,Z,14,?,?
2,13,RB,4,NMOD,?,?,SP1,?,?,3,A,2,1,13,cc,0,ROOT,?,?,SP1,?,?,3,A,2,?,H*LH-
3,13,DT,4,NMOD,?,?,T1,?,?,3,B,2,2,13,RB,4,NMOD,?,?,SP1,?,?,3,A,2,H*LH-,?
4,13,NN,5,SBJ,?,?,T1,?,?,3,B,2,3,13,DT,4,NMOD,?,?,T1,?,?,3,B,2,?,L*H-
5,13,VBD,0,ROOT,?,?,R1,?,?,3,Z,9,4,13,NN,5,SBJ,?,?,T1,?,?,3,B,2,L*H-,?
6,13,RB,5,ADV,?,?,R1,?,?,3,Z,9,5,13,VBD,0,ROOT,?,?,R1,?,?,3,Z,9,?,?
7,13,RB,5,ADV,?,?,R1,?,?,3,Z,9,6,13,RB,5,ADV,?,?,R1,?,?,3,Z,9,?,?
8,13,VB,5,VC,?,?,R1,?,?,3,Z,9,7,13,RB,5,ADV,?,?,R1,?,?,3,Z,9,?,H*
9,13,IN,8,ADV,?,?,R1,?,?,3,Z,9,8,13,VB,5,VC,?,?,R1,?,?,3,Z,9,H*,?
10,13,DT,11,NMOD,?,?,R1,?,?,3,Z,9,9,13,IN,8,ADV,?,?,R1,?,?,3,Z,9,?,?
11,13,NN,9,PMOD,?,?,R1,?,?,3,Z,9,10,13,DT,11,NMOD,?,?,R1,?,?,3,Z,9,?,LL-
12,13,0.0,5,P,?,?,R1,?,?,3,Z,9,11,13,NN,9,PMOD,?,?,R1,?,?,3,Z,9,LL-,?
13,13,cc,5,P,?,?,R1,?,?,3,Z,9,12,13,0.0,5,P,?,?,R1,?,?,3,Z,9,?,?
1,18,CC,14,DEP,?,?,SP1,?,?,4,A,1,13,13,cc,5,P,?,?,R1,?,?,3,Z,9,?,?
2,18,IN,3,DEP,?,?,T1,?,?,4,B,7,1,18,CC,14,DEP,?,?,SP1,?,?,4,A,1,?,?
3,18,CD,4,NMOD,?,?,T1,?,?,4,B,7,2,18,IN,3,DEP,?,?,T1,?,?,4,B,7,?,L*+H
4,18,NN,14,SBJ,?,?,T1,?,?,4,B,7,3,18,CD,4,NMOD,?,?,T1,?,?,4,B,7,L*+H,?
5,18,IN,4,NMOD,?,?,T1,?,?,4,B,7,4,18,NN,14,SBJ,?,?,T1,?,?,4,B,7,?,?
6,18,DT,7,NMOD,?,?,T1,?,?,4,B,7,5,18,IN,4,NMOD,?,?,T1,?,?,4,B,7,?,?
7,18,NNS,5,PMOD,?,?,T1,?,?,4,B,7,6,18,DT,7,NMOD,?,?,T1,?,?,4,B,7,?,LH-
8,18,c,4,P,?,?,T1,?,?,4,B,7,7,18,NNS,5,PMOD,?,?,T1,?,?,4,B,7,LH-,?
9,18,VBG,4,NMOD,?,?,SP2,?,?,4,C,5,8,18,c,4,P,?,?,T1,?,?,4,B,7,?,?
10,18,TO,9,PMOD,?,?,SP2,?,?,4,C,5,9,18,VBG,4,NMOD,?,?,SP2,?,?,4,C,5,?,?
11,18,NNP,12,NMOD,?,?,SP2,?,?,4,C,5,10,18,TO,9,PMOD,?,?,SP2,?,?,4,C,5,?,L*+H
12,18,NNS,10,PMOD,?,?,SP2,?,?,4,C,5,11,18,NNP,12,NMOD,?,?,SP2,?,?,4,C,5,L*+H,LH-
13,18,c,4,P,?,?,SP2,?,?,4,C,5,12,18,NNS,10,PMOD,?,?,SP2,?,?,4,C,5,LH-,?
14,18,VBP,0,ROOT,?,?,R1,?,?,4,Z,5,13,18,c,4,P,?,?,SP2,?,?,4,C,5,?,H*
15,18,PRP$,16,NMOD,?,?,R1,?,?,4,Z,5,14,18,VBP,0,ROOT,?,?,R1,?,?,4,Z,5,H*,?
16,18,NNS,14,OBJ,?,?,R1,?,?,4,Z,5,15,18,PRP$,16,NMOD,?,?,R1,?,?,4,Z,5,?,?
17,18,RB,14,ADV,?,?,R1,?,?,4,Z,5,16,18,NNS,14,OBJ,?,?,R1,?,?,4,Z,5,?,LL-
18,18,0.0,14,P,?,?,R1,?,?,4,Z,5,17,18,RB,14,ADV,?,?,R1,?,?,4,Z,5,LL-,?
1,15,DT,2,NMOD,?,?,T1,?,?,3,A,2,18,18,0.0,14,P,?,?,R1,?,?,4,Z,5,?,?
2,15,NNP,3,SBJ,?,?,T1,?,?,3,A,2,1,15,DT,2,NMOD,?,?,T1,?,?,3,A,2,?,L*H-
3,15,MD,14,OBJ,?,?,R1,?,?,3,Z,13,2,15,NNP,3,SBJ,?,?,T1,?,?,3,A,2,L*H-,?
4,15,RB,3,ADV,?,?,R1,?,?,3,Z,13,3,15,MD,14,OBJ,?,?,R1,?,?,3,Z,13,?,L*+H
5,15,VB,3,VC,?,?,R1,?,?,3,Z,13,4,15,RB,3,ADV,?,?,R1,?,?,3,Z,13,L*+H,?
6,15,IN,5,ADV,?,?,R1,?,?,3,Z,13,5,15,VB,3,VC,?,?,R1,?,?,3,Z,13,?,?
7,15,DT,8,NMOD,?,?,R1,?,?,3,Z,13,6,15,IN,5,ADV,?,?,R1,?,?,3,Z,13,?,?
8,15,NN,6,PMOD,?,?,R1,?,?,3,Z,13,7,15,DT,8,NMOD,?,?,R1,?,?,3,Z,13,?,?
9,15,JJ,11,NMOD,?,?,R1,?,?,3,Z,13,8,15,NN,6,PMOD,?,?,R1,?,?,3,Z,13,?,?
10,15,JJ,11,NMOD,?,?,R1,?,?,3,Z,13,9,15,JJ,11,NMOD,?,?,R1,?,?,3,Z,13,?,?
11,15,NN,5,TMP,?,?,R1,?,?,3,Z,13,10,15,JJ,11,NMOD,?,?,R1,?,?,3,Z,13,?,LL-
12,15,c,14,P,?,?,R1,?,?,3,Z,13,11,15,NN,5,TMP,?,?,R1,?,?,3,Z,13,LL-,?
13,15,PRP,14,SBJ,?,?,SP1,?,?,3,Z,13,12,15,c,14,P,?,?,R1,?,?,3,Z,13,?,L*
14,15,VBD,0,ROOT,?,?,SP1,?,?,3,Z,13,13,15,PRP,14,SBJ,?,?,SP1,?,?,3,Z,13,L*,LL-
15,15,0.0,14,P,?,?,SP1,?,?,3,Z,13,14,15,VBD,0,ROOT,?,?,SP1,?,?,3,Z,13,LL-,?
1,9,RB,6,SBJ,?,?,T1,?,?,2,A,5,15,15,0.0,14,P,?,?,SP1,?,?,3,Z,13,?,L*+H
2,9,PDT,3,NMOD,?,?,T1,?,?,2,A,5,1,9,RB,6,SBJ,?,?,T1,?,?,2,A,5,L*+H,?
3,9,DT,1,NMOD,?,?,T1,?,?,2,A,5,2,9,PDT,3,NMOD,?,?,T1,?,?,2,A,5,?,?
4,9,WP,5,SBJ,?,?,T1,?,?,2,A,5,3,9,DT,1,NMOD,?,?,T1,?,?,2,A,5,?,?
5,9,VBD,3,NMOD,?,?,T1,?,?,2,A,5,4,9,WP,5,SBJ,?,?,T1,?,?,2,A,5,?,LH-
6,9,VBP,0,ROOT,?,?,R1,?,?,2,Z,4,5,9,VBD,3,NMOD,?,?,T1,?,?,2,A,5,LH-,L*
7,9,DT,8,NMOD,?,?,R1,?,?,2,Z,4,6,9,VBP,0,ROOT,?,?,R1,?,?,2,Z,4,L*,?
8,9,NNS,6,OBJ,?,?,R1,?,?,2,Z,4,7,9,DT,8,NMOD,?,?,R1,?,?,2,Z,4,?,LL-
